0.1,0.2,0.9,1,1.5,1.6,1.7,1.8,2,2.1,2.2,2.3,2.4,2.5,2.6,2.8,3.2,3.4,3.6,3.7,4,4.2,4.4,4.5,4.6,4.7,5,5.1,5.3,5.4,5.6,5.7,6,6.1,6.2,6.4,6.9,7.3,8,8.1,8.2,8.4,9.5,9.8,9.9,,,,,,,,,
43050,45885,48322,46933,38483,34666,33132,48697,40755,36825,33173,47952,41594,37904,33077,40596,34374,40492,43194,37039,32901,33424,33718,42336,33525,41823,48980,39069,34055,41412,37493,42442,42190,48946,35184,46140,48903,42544,40503,41185,41748,42890,43870,43885,43880,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,0.4,0.5,0.6,0.7,0.8,1.1,1.2,1.3,1.4,1.9,2.7,2.9,3,3.1,3.3,3.5,3.8,3.9,4.1,4.3,4.8,4.9,5.2,5.5,5.8,5.9,6.3,6.5,6.6,6.7,6.8,7,7.1,7.2,7.4,7.5,7.6,7.7,7.8,7.9,8.3,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.6,9.7
14940,15703,16089,16066,15996,15801,12087,9962,8919,7843,10387,13200,1265,15609,8380,15345,483,15802,7530,8728,9294,332,8144,13556,16188,34,5274,8115,169,3706,8124,11586,870,5273,7998,14658,16181,399,1587,4477,6705,9527,10702,11073,11137,11133,11138,11127,11124,11124,11113,11110,11109,11113
